,SeqId,TargetFullName,Target,UniProt,EntrezGeneSymbol,Units,Dilution,PlateScale_Reference,Function
2769,3324-51,T-lymphocyte surface antigen Ly-9,LY9,Q9HBG7,LY9,RFU,20,5049.5,
2770,Feb-25,Matrilin-2,MATN2,O00339,MATN2,RFU,0.5,8197.7,
2771,3326-58,Cell adhesion molecule 1,Nectin-like protein 2,Q9BY67,CADM1,RFU,20,2113.1,
2772,3327-27,Netrin-4,NET4,Q9HB63,NTN4,RFU,20,6188.2,
2773,3329-14,Peptidoglycan recognition protein 1,PGRP-S,O75594,PGLYRP1,RFU,0.5,2213,
2774,Aug-31,RGM domain family member B,RGMB,Q6NW40,RGMB,RFU,0.5,1585.6,
2775,3332-57,Hemojuvelin,RGM-C,Q6ZVN8,HFE2,RFU,0.5,871.6,
2776,3336-50,Tissue factor pathway inhibitor,TFPI,P10646,TFPI,RFU,0.5,32374.7,
2777,3339-33,Thrombospondin-2,TSP2,P35442,THBS2,RFU,20,9839.5,
2778,3340-53,Thrombospondin-4,TSP4,P35443,THBS4,RFU,0.5,25188.4,
2779,3341-33,Tyrosine-protein kinase ABL1,ABL1,P00519,ABL1,RFU,20,248.1,
2780,3342-76,Abelson tyrosine-protein kinase 2,ABL2,P42684,ABL2,RFU,20,558.2,
2781,Jan-43,Aminoacylase-1,Aminoacylase-1,Q03154,ACY1,RFU,0.5,3034.9,
2782,3344-60,Antithrombin-III,Antithrombin III,P01008,SERPINC1,RFU,0.005,98493,
2783,3346-72,Aurora kinase B,AURKB,Q96GD4,AURKB,RFU,20,1260.5,
2784,Sep-47,beta-adrenergic receptor kinase 1,BARK1,P25098,ADRBK1,RFU,20,3123.4,
2785,3348-49,Bone morphogenetic protein 1,BMP-1,P13497,BMP1,RFU,20,5391.7,
2786,3350-53,Calcium/calmodulin-dependent protein kinase type II subunit alpha,CAMK2A,Q9UQM7,CAMK2A,RFU,20,451.3,
2787,Jan-51,Calcium/calmodulin-dependent protein kinase type II subunit beta,CAMK2B,Q13554,CAMK2B,RFU,20,543.4,
2788,3352-80,Carbonic anhydrase 6,Carbonic anhydrase 6,P23280,CA6,RFU,0.5,3668,
2789,3356-50,Carbonic anhydrase 7,Carbonic anhydrase VII,P43166,CA7,RFU,20,225,
2790,3357-67,Cyclin-dependent kinase 2:Cyclin-A2 complex,CDK2/cyclin A,P24941 P20248,CDK2 CCNA2,RFU,20,358.7,
2791,Nov-59,Cyclin-dependent kinase 8:Cyclin-C complex,CDK8/cyclin C,P49336 P24863,CDK8 CCNC,RFU,20,1936,
2792,3361-26,C-type lectin domain family 4 member K,CLC4K,Q9UJ71,CD207,RFU,20,237.7,
2793,3362-61,Chordin-like protein 1,CRDL1,Q9BU40,CHRDL1,RFU,0.5,1506.8,
2794,3363-31,Tyrosine-protein kinase CSK,CSK,P41240,CSK,RFU,20,13546.2,
2795,3364-76,Cathepsin L2,Cathepsin V,O60911,CTSV,RFU,20,1169.2,
2796,Jul-65,Dickkopf-related protein 4,Dkk-4,Q9UBT3,DKK4,RFU,20,4161.7,
2797,3366-51,Extracellular matrix protein 1,ECM1,Q16610,ECM1,RFU,0.005,30255.8,
2798,Aug-67,Fetuin-B,FETUB,Q9UGM5,FETUB,RFU,0.005,10864.2,
2799,May-73,Granzyme H,Granzyme H,P20718,GZMH,RFU,20,384.1,
2800,3374-49,Tyrosine-protein kinase HCK,HCK,P08631,HCK,RFU,20,148.4,
2801,3376-49,Interleukin-17 receptor D,IL-17 RD,Q8NFM7,IL17RD,RFU,20,557.7,
2802,3378-49,Kallikrein-7,Kallikrein 7,P49862,KLK7,RFU,0.5,1731,
2803,3379-29,Protein kinase C iota type,KPCI,P41743,PRKCI,RFU,20,420.2,
2804,3381-24,"Tyrosine-protein kinase Lyn, isoform B",LYNB,P07948,LYN,RFU,20,5435.5,
2805,Jan-87,Serine/threonine-protein kinase PAK 3,PAK3,O75914,PAK3,RFU,20,1200.7,
2806,3388-58,Serine/threonine-protein kinase PAK 5,PAK7,Q9P286,PAK7,RFU,20,1070.5,
2807,Jul-89,Plasma serine protease inhibitor,PCI,P05154,SERPINA5,RFU,0.005,43626.4,
2808,3390-72,PIK3CA/PIK3R1,PIK3CA/PIK3R1,P42336 P27986,PIK3CA PIK3R1,RFU,20,491.6,
2809,3392-68,Protein kinase B gamma,PKB gamma,Q9Y243,AKT3,RFU,20,15722.2,
2810,3394-81,Serine/threonine-protein kinase PLK1,PLK-1,P53350,PLK1,RFU,20,303.4,
2811,3396-54,Renin,Renin,P00797,REN,RFU,20,19065.8,
2812,Jul-97,Tyrosine-protein phosphatase non-receptor type 11,SHP-2,Q06124,PTPN11,RFU,20,5737.8,
2813,3400-49,Serine/threonine-protein kinase TBK1,TBK1,Q9UHD2,TBK1,RFU,20,271.9,
2814,Aug-01,Tyrosine-protein phosphatase non-receptor type 2,TCPTP,P17706,PTPN2,RFU,20,382.4,
2815,Jan-03,Tryptase beta-2,TPSB2,P20231,TPSB2,RFU,20,10628.6,
2816,3404-51,Tryptase gamma,TPSG1,Q9NRR2,TPSG1,RFU,20,341.3,
2817,Jun-05,Ubiquitin-fold modifier-conjugating enzyme 1,UFC1,Q9Y3C8,UFC1,RFU,20,8166,
2818,Jul-12,Apoptosis regulator Bcl-2,Bcl-2,P10415,BCL2,RFU,20,845.8,
2819,3413-50,Bcl-2-related protein A1,BFL1,Q16548,BCL2A1,RFU,0.5,1134.3,
2820,3414-40,Cytoplasmic tyrosine-protein kinase BMX,BMX,P51813,BMX,RFU,20,506.5,
2821,3415-61,Bone sialoprotein 2,BSP,P21815,IBSP,RFU,20,1733.1,
2822,Dec-18,Calcium/calmodulin-dependent protein kinase type 1D,CAMK1D,Q8IU85,CAMK1D,RFU,20,2874.3,
2823,3419-49,Calcium/calmodulin-dependent protein kinase type II subunit delta,CAMK2D,Q13557,CAMK2D,RFU,20,2257,
2824,3420-21,Carbonic anhydrase 13,Carbonic anhydrase XIII,Q8N1Q1,CA13,RFU,20,898.9,
2825,3421-54,Tumor necrosis factor ligand superfamily member 8,CD30 Ligand,P32971,TNFSF8,RFU,20,2756.5,
2826,Apr-22,Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex,CDK1/cyclin B,P06493 P14635,CDC2 CCNB1,RFU,20,409.4,
2827,3423-59,Chymase,Chymase,P23946,CMA1,RFU,20,926.5,
2828,3427-63,Casein kinase II subunit alpha,CSK21,P68400,CSNK2A1,RFU,20,222.7,
2829,3431-54,Ephrin type-A receptor 1,EphA1,P21709,EPHA1,RFU,20,13688.3,
2830,3432-21,Ephrin type-A receptor 3,EPHA3,P29320,EPHA3,RFU,20,127.1,
2831,3434-34,Fibronectin Fragment 3,FN1.3,P02751,FN1,RFU,0.005,1686.3,
2832,3435-53,Fibronectin Fragment 4,FN1.4,P02751,FN1,RFU,0.005,1817,
2833,Oct-38,Follistatin-related protein 3,FSTL3,O95633,FSTL3,RFU,0.5,5334.4,
2834,Jul-40,Granzyme A,granzyme A,P12544,GZMA,RFU,20,2660.5,
2835,3441-64,Glycogen synthase kinase-3 alpha,GSK-3 alpha,P49840,GSK3A,RFU,20,2762.6,
2836,3445-53,Interleukin-15 receptor subunit alpha,IL-15 Ra,Q13261,IL15RA,RFU,20,684.6,
2837,3447-64,Interleukin-8,IL-8,P10145,CXCL8,RFU,20,971.5,
2838,3448-13,Insulin receptor,IR,P06213,INSR,RFU,20,8542.9,
2839,3449-58,Kallistatin,Kallistatin,P29622,SERPINA4,RFU,0.005,55777.8,
2840,3452-17,Tyrosine-protein kinase Lck,LCK,P06239,LCK,RFU,20,349.5,
2841,3453-87,Tyrosine-protein kinase Lyn,LYN,P07948,LYN,RFU,20,1389.6,
2842,3457-57,Periostin,Periostin,Q15063,POSTN,RFU,20,2711.8,
2843,3459-49,Platelet-derived growth factor receptor beta,PDGF Rb,P09619,PDGFRB,RFU,20,4222,
2844,3461-58,Brevican core protein,PGCB,Q96GW7,BCAN,RFU,20,1299.6,
2845,Aug-66,cAMP-dependent protein kinase catalytic subunit alpha,PRKACA,P17612,PRKACA,RFU,20,4338.7,
2846,3469-74,Ribosomal protein S6 kinase alpha-3,RPS6KA3,P51812,RPS6KA3,RFU,20,663.7,
2847,Jan-70,E-selectin,sE-Selectin,P16581,SELE,RFU,0.5,28772.1,
2848,3471-49,Serine/threonine-protein kinase 16,STK16,O75716,STK16,RFU,20,2922.1,
2849,3472-40,Baculoviral IAP repeat-containing protein 5,Survivin,O15392,BIRC5,RFU,20,870,
2850,3473-78,Thrombopoietin Receptor,Thrombopoietin Receptor,P40238,MPL,RFU,20,157.1,
2851,3474-19,Thrombospondin-1,Thrombospondin-1,P07996,THBS1,RFU,0.005,942.3,
2852,3477-63,High affinity nerve growth factor receptor,TrkA,P04629,NTRK1,RFU,20,2190.4,
2853,Jul-80,Dual specificity protein phosphatase 3,DUS3,P51452,DUSP3,RFU,20,374.1,
2854,3481-87,Xaa-Pro aminopeptidase 1,XPNPEP1,Q9NQW7,XPNPEP1,RFU,20,6158.8,
2855,3484-60,Angiotensinogen,Angiotensinogen,P01019,AGT,RFU,0.005,8548.2,
2856,3485-28,Beta-2-microglobulin,b2-Microglobulin,P61769,B2M,RFU,0.005,944.8,
2857,3486-58,Fibroblast growth factor 1,b-ECGF,P05230,FGF1,RFU,20,150.8,
2858,3487-32,C-X-C motif chemokine 13,BLC,O43927,CXCL13,RFU,20,691.8,
2859,3488-64,Catalase,Catalase,P04040,CAT,RFU,0.5,19725.8,
2860,Sep-89,Ciliary neurotrophic factor,CNTF,P26441,CNTF,RFU,20,161.8,
2861,3494-71,Fibroblast growth factor 17,FGF-17,O60258,FGF17,RFU,20,208.7,
2862,3495-15,C-X-C motif chemokine 6,GCP-2,P80162,CXCL6,RFU,20,1380.4,
2863,3497-13,Interferon alpha-2,IFN-aA,P01563,IFNA2,RFU,20,86.8,
2864,3499-77,Interleukin-17B,IL-17B,Q9UHF5,IL17B,RFU,20,130.6,
2865,Apr-03,Integrin alpha-I: beta-1 complex,Integrin a1b1,P56199 P05556,ITGA1 ITGB1,RFU,20,8235.2,
2866,3504-58,Hepcidin,LEAP-1,P81172,HAMP,RFU,0.5,833.4,
2867,Jun-05,Lymphotoxin alpha1:beta2,Lymphotoxin a1/b2,P01374 Q06643,LTA LTB,RFU,20,261.2,
2868,3506-49,Lymphotoxin alpha2:beta1,Lymphotoxin a2/b1,P01374 Q06643,LTA LTB,RFU,20,2380.2,
2869,Jan-07,Malic dehydrogenase_THETH,MDH_THETH,P10584,mdh,RFU,0.5,61.1,
2870,3508-78,C-C motif chemokine 22,MDC,O00626,CCL22,RFU,20,22358.5,
2871,3512-72,Adenylate kinase_GEOSE,KAD_GEOSE,P27142,NA,RFU,0.005,29.6,
2872,3516-60,Stromal cell-derived factor 1,SDF-1,P48061,CXCL12,RFU,20,30870.5,
2873,3518-54,Carboxypeptidase B2,TAFI,Q96IY4,CPB2,RFU,0.005,19499.9,
2874,Mar-19,C-C motif chemokine 17,TARC,Q92583,CCL17,RFU,20,434.2,
2875,3520-58,Transforming growth factor beta-3,TGF-b3,P10600,TGFB3,RFU,20,236.9,
2876,3521-16,Thyroid Stimulating Hormone,TSH,P01215 P01222,CGA TSHB,RFU,20,573.2,
2877,3522-57,Vasoactive Intestinal Peptide,Vasoactive Intestinal Peptide,P01282,VIP,RFU,20,163.7,
2878,3534-14,CD40 ligand,"CD40 ligand, soluble",P29965,CD40LG,RFU,20,158.7,
2879,3535-84,Dickkopf-related protein 1,DKK1,O94907,DKK1,RFU,20,4074.2,
2880,3538-26,Aromatic-L-amino-acid decarboxylase,dopa decarboxylase,P20711,DDC,RFU,20,237.8,
2881,3554-24,Adiponectin,Adiponectin,Q15848,ADIPOQ,RFU,0.005,2809.8,
2882,3580-25,Alpha-1-antitrypsin,a1-Antitrypsin,P01009,SERPINA1,RFU,0.5,44848.5,
2883,3581-53,Alpha-2-HS-glycoprotein,a2-HS-Glycoprotein,P02765,AHSG,RFU,0.005,2060.7,
2884,3583-54,Arylsulfatase A,Arylsulfatase A,P15289,ARSA,RFU,20,1686.9,
2885,3585-54,Basigin,BASI,P35613,BSG,RFU,20,1524.6,
2886,3587-53,Bone morphogenetic protein 10,BMP10,O95393,BMP10,RFU,20,1221.1,
2887,Apr-92,Calcium/calmodulin-dependent protein kinase type 1,CAMK1,Q14012,CAMK1,RFU,0.5,3670,
2888,3593-72,Caspase-3,Caspase-3,P42574,CASP3,RFU,20,2072,
2889,Feb-00,Chitotriosidase-1,Chitotriosidase-1,Q13231,CHIT1,RFU,0.5,1082.3,
2890,3603-60,C-type lectin domain family 7 member A,CLC7A,Q9BXN2,CLEC7A,RFU,20,723.1,
2891,3605-77,Mannan-binding lectin serine protease 1,MASP3,P48740,MASP1,RFU,0.5,526.3,
2892,3607-71,Dickkopf-related protein 3,DKK3,Q9UBP4,DKK3,RFU,0.5,2174.7,
2893,Mar-16,N-acetylglucosamine-6-sulfatase,GNS,P15586,GNS,RFU,20,1349.1,
2894,3617-80,Hepatocyte growth factor activator,HGFA,Q04756,HGFAC,RFU,0.005,8136.7,
2895,3620-67,Interleukin-22 receptor subunit alpha-1,IL22RA1,Q8N6P7,IL22RA1,RFU,20,1204.5,
2896,3622-33,Legumain,LGMN,Q99538,LGMN,RFU,0.5,1788.2,
2897,3623-84,Lymphocyte antigen 86,LY86,O95711,LY86,RFU,0.5,3908.8,
2898,3627-71,Membrane metallo-endopeptidase-like 1,MMEL2,Q495T6,MMEL1,RFU,20,787,
2899,Mar-28,Dual specificity mitogen-activated protein kinase kinase 2,MP2K2,P36507,MAP2K2,RFU,20,6046.9,
2900,3629-60,Serine/threonine-protein kinase MRCK beta,MRCKB,Q9Y5S2,CDC42BPB,RFU,20,1859.5,
2901,3630-27,Cell adhesion molecule 3,Nectin-like protein 1,Q8N126,CADM3,RFU,20,8825.2,
2902,3640-14,alpha-2-macroglobulin receptor-associated protein,RAP,P30533,LRPAP1,RFU,20,4024.9,
2903,3647-49,Toll-like receptor 4:Lymphocyte antigen 96 complex,TLR4:MD-2 complex,O00206 Q9Y6Y9,TLR4 LY96,RFU,20,3188.2,
2904,3651-50,Vascular endothelial growth factor receptor 2,VEGF sR2,P35968,KDR,RFU,0.5,5929.4,
2905,3685-53,Membrane frizzled-related protein,MFRP,Q9BY79,MFRP,RFU,20,1851.1,
2906,3708-62,Alpha-2-macroglobulin,a2-Macroglobulin,P01023,A2M,RFU,0.5,17189.4,
2907,3710-49,Angiostatin,Angiostatin,P00747,PLG,RFU,0.5,28362.6,
2908,3714-49,Creatine kinase M-type:Creatine kinase B-type heterodimer,CK-MB,P12277 P06732,CKB CKM,RFU,0.5,3534.1,
2909,3717-23,Luciferin 4-monooxygenase_PHOPY,LUCI_PHOPY,P08659,NA,RFU,20,1036.8,
2910,Feb-19,Cyclin-dependent kinase inhibitor 1B,p27Kip1,P46527,CDKN1B,RFU,20,998.2,
2911,May-21,Nodulation protein H_NOH4,NOH4_RHIML,P06237,nodH,RFU,20,612,
2912,Jan-23,Brain natriuretic peptide 32,BNP-32,P16860,NPPB,RFU,20,365.2,
2913,3724-64,Exendin-4_HELSU,EXE4_HELSU,P26349,NA,RFU,20,376.6,
2914,3727-35,Peptide YY,PYY,P10082,PYY,RFU,20,841.8,
2915,3728-52,Secretin,Secretin,P09683,SCT,RFU,20,185.3,
2916,3730-81,Tumor necrosis factor receptor superfamily member 4,TNR4,P43489,TNFRSF4,RFU,20,458.5,
2917,3738-54,Macrophage colony-stimulating factor 1,CSF-1,P09603,CSF1,RFU,20,2936.6,
2918,3742-78,Nigrin b_SAMNI,NIGB_SAMNI,P33183,NA,RFU,20,1960.2,
2919,3758-68,Activated Protein C,Activated Protein C,P04070,PROC,RFU,20,485,
2920,Apr-61,Prostaglandin G/H synthase 2,COX-2,P35354,PTGS2,RFU,20,431.4,
2921,3773-15,"Angiopoietin-1 receptor, soluble",sTie-2,Q02763,TEK,RFU,20,1631.1,
2922,Jun-95,Disintegrin and metalloproteinase domain-containing protein 9,ADAM 9,Q13443,ADAM9,RFU,20,903.8,
2923,3796-79,Angiopoietin-related protein 4,ANGL4,Q9BY76,ANGPTL4,RFU,20,2588.2,
2924,Jan-97,Cadherin-2,Cadherin-2,P19022,CDH2,RFU,20,1008.9,
2925,3798-71,Carbonic anhydrase 9,Carbonic anhydrase 9,Q16790,CA9,RFU,20,657.1,
2926,Nov-99,Carbonic anhydrase 3,Carbonic anhydrase III,P07451,CA3,RFU,0.5,2022,
2927,3800-71,Creatine kinase B-type,CK-BB,P12277,CKB,RFU,20,462,
2928,Oct-03,Cystatin-D,CYTD,P28325,CST5,RFU,20,4419.6,
2929,3805-16,Endothelial cell-specific molecule 1,Endocan,Q9NQ30,ESM1,RFU,20,2886.3,
2930,3806-55,Ephrin type-A receptor 5,EphA5,P54756,EPHA5,RFU,20,563.2,
2931,Jan-07,Fibroblast growth factor 23,FGF23,Q9GZV9,FGF23,RFU,20,875.3,
2932,3808-76,Fibroblast growth factor receptor 2,FGFR-2,P21802,FGFR2,RFU,20,391.5,
2933,Jan-09,Fibroblast growth factor receptor 3,FGFR-3,P22607,FGFR3,RFU,20,1122.2,
2934,3810-50,Tyrosine-protein kinase Fgr,FGR,P09769,FGR,RFU,20,202.5,
2935,Mar-13,Tyrosine-protein kinase Fyn,FYN,P06241,FYN,RFU,20,994.2,
2937,3817-18,Protein kinase C theta type,KPCT,Q04759,PRKCQ,RFU,20,628.9,
2938,3820-68,MAP kinase-activated protein kinase 2,MAPK2,P49137,MAPKAPK2,RFU,20,823.5,
2939,3821-28,MAP kinase-activated protein kinase 5,MAPK5,Q8IW41,MAPKAPK5,RFU,20,588.5,
2940,3822-54,MAP kinase-activated protein kinase 3,MAPKAPK3,Q16644,MAPKAPK3,RFU,20,2027.8,
2941,Sep-23,Megakaryocyte-associated tyrosine-protein kinase,MATK,P42679,MATK,RFU,20,346.7,
2942,3825-18,Mitogen-activated protein kinase 8,MK08,P45983,MAPK8,RFU,20,514.1,
2943,3827-22,Serine/threonine-protein kinase PAK 6,PAK6,Q9NQU5,PAK6,RFU,20,448,
2944,3831-21,"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",pTEN,P60484,PTEN,RFU,20,1977.8,
2945,3832-51,Protein-tyrosine kinase 6,PTK6,Q13882,PTK6,RFU,20,291.9,
2947,3836-51,Ubiquitin-fold modifier 1,UFM1,P61960,UFM1,RFU,20,1942.1,
2948,Jun-37,Tyrosine-protein kinase ZAP-70,ZAP70,P43403,ZAP70,RFU,20,985,
2949,3839-60,AH receptor-interacting protein,AIP,O00170,AIP,RFU,20,884.4,
2950,Feb-44,Peptidyl-prolyl cis-trans isomerase A,Cyclophilin A,P62937,PPIA,RFU,0.5,22358.6,
2951,3845-51,Dynein light chain roadblock-type 1,DLRB1,Q9NP97,DYNLRB1,RFU,20,1175.5,
2952,3847-56,"Persulfide dioxygenase ETHE1, mitochondrial",ETHE1,O95571,ETHE1,RFU,20,1613.7,
2953,3849-56,Green fluorescent protein_AEQVI,GFP_AEQVI,P42212,GFP,RFU,0.5,77.4,
2954,3852-19,DnaJ homolog subfamily B member 1,HSP 40,P25685,DNAJB1,RFU,20,458.9,
2955,3853-56,"Malate dehydrogenase, cytoplasmic",MDHC,P40925,MDH1,RFU,0.5,12290.2,
2956,3854-24,Nascent polypeptide-associated complex subunit alpha,NACA,Q13765,NACA,RFU,20,2406.3,
2957,3855-56,Peroxiredoxin-1,Peroxiredoxin-1,Q06830,PRDX1,RFU,20,16197.5,
2958,May-58,Low molecular weight phosphotyrosine protein phosphatase,PPAC,P24666,ACP1,RFU,20,1687.7,
2959,3859-50,Proteasome subunit alpha type-1,PSA1,P25786,PSMA1,RFU,20,560.8,
2960,Jul-60,Proteasome subunit alpha type-6,PSA6,P60900,PSMA6,RFU,20,580.4,
2961,May-64,40S ribosomal protein S7,RS7,P62081,RPS7,RFU,20,844.4,
2962,Jul-66,Ribosome maturation protein SBDS,SBDS,Q9Y3A5,SBDS,RFU,20,1392.3,
2963,3867-49,Seizure 6-like protein 2,SE6L2,Q6UXD5,SEZ6L2,RFU,20,615.3,
2964,Aug-68,Small glutamine-rich tetratricopeptide repeat-containing protein alpha,SGTA,O43765,SGTA,RFU,20,2479.1,
2965,Feb-72,Translationally-controlled tumor protein,TCTP,P13693,TPT1,RFU,0.5,1630.2,
2966,3873-51,Thyroid peroxidase,TMA,P07202,TPO,RFU,20,2414.6,
2967,Aug-74,Ubiquitin-conjugating enzyme E2 L3,UB2L3,P68036,UBE2L3,RFU,20,853.2,
2968,3875-62,AT-rich interactive domain-containing protein 3A,ARI3A,Q99856,ARID3A,RFU,20,264.4,
2969,3879-50,Hsp90 co-chaperone Cdc37,CDC37,Q16543,CDC37,RFU,20,231.8,
2970,3881-49,"Dynein light chain 1, cytoplasmic",DLC8,P63167,DYNLL1,RFU,20,548,
2971,3887-90,Importin subunit beta-1,IMB1,Q14974,KPNB1,RFU,20,4837.5,
2972,Aug-88,Inhibitor of growth protein 1,ING1,Q9UK53,ING1,RFU,20,2042.7,
2973,3889-64,Lamin-B1,Lamin-B1,P20700,LMNB1,RFU,20,495.8,
2974,Aug-90,L-lactate dehydrogenase B chain,LDH-H 1,P07195,LDHB,RFU,0.005,2115,
2975,3891-56,Methyl-CpG-binding domain protein 4,MBD4,O95243,MBD4,RFU,20,305.7,
2976,3892-21,Mediator of RNA polymerase II transcription subunit 1,MED-1,Q15648,MED1,RFU,20,573.6,
2977,3894-15,N-acetyl-D-glucosamine kinase,NAGK,Q9UJ70,NAGK,RFU,0.5,668.5,
2978,May-96,Phosphoglycerate mutase 1,Phosphoglycerate mutase 1,P18669,PGAM1,RFU,20,14521.9,
2979,3897-61,Pyridoxal phosphate phosphatase,PLPP,Q96GD0,PDXP,RFU,20,1374.8,
2980,May-98,26S proteasome non-ATPase regulatory subunit 7,PSD7,P51665,PSMD7,RFU,20,504.4,
2981,3902-21,S-phase kinase-associated protein 1,SKP1,P63208,SKP1,RFU,0.5,1266.9,
2982,3903-49,Sorting nexin-4,Sorting nexin 4,O95219,SNX4,RFU,20,1447.4,
2983,Dec-22,Epithelial discoidin domain-containing receptor 1,discoidin domain receptor 1,Q08345,DDR1,RFU,20,307.2,
2984,4123-60,Fibroblast growth factor 4,FGF-4,P08620,FGF4,RFU,20,205.6,
2985,4124-24,Heat shock 70 kDa protein 1A,HSP 70,P0DMV8,HSPA1A,RFU,20,1149.8,
2986,4125-52,"Advanced glycosylation end product-specific receptor, soluble",sRAGE,Q15109,AGER,RFU,20,3249.9,
2987,4126-22,Bactericidal permeability-increasing protein,BPI,P17213,BPI,RFU,20,3627.3,
2988,4127-75,Complement component C6,C6,P13671,C6,RFU,0.005,51876.6,
2989,4128-27,C-C motif chemokine 24,Eotaxin-2,O00175,CCL24,RFU,20,538.5,
2990,4129-72,Complement factor B,Factor B,P00751,CFB,RFU,0.005,40088.5,
2991,4130-71,Fibroblast growth factor 6,FGF-6,P10767,FGF6,RFU,20,269.5,
2992,4131-72,Fibronectin,Fibronectin,P02751,FN1,RFU,0.005,6335,
2993,4132-27,Follistatin,FST,P19883,FST,RFU,20,685,
2994,4133-54,Granzyme B,Granzyme B,P10144,GZMB,RFU,20,360.3,
2995,4136-40,Interleukin-17D,IL-17D,Q8TAD2,IL17D,RFU,20,587.9,
2996,4137-57,Interleukin-25,IL-17E,Q9H293,IL25,RFU,20,354.4,
2997,4138-25,Interleukin-20,IL-20,Q9NYY1,IL20,RFU,20,283.2,
2998,4141-79,C-X-C motif chemokine 10,IP-10,P02778,CXCL10,RFU,20,800.9,
2999,4143-74,Lymphotactin,Lymphotactin,P47992,XCL1,RFU,20,474.5,
3000,4144-13,C-C motif chemokine 13,MCP-4,Q99616,CCL13,RFU,20,226.4,
3001,4145-58,Neurotrophin-3,Neurotrophin-3,P20783,NTF3,RFU,20,303.6,
3002,4146-58,Neurotrophin-4,Neurotrophin-5,P34130,NTF4,RFU,20,431.3,
3003,4148-49,Pappalysin-1,PAPP-A,Q13219,PAPPA,RFU,0.5,11019.6,
3004,Aug-49,Platelet-derived growth factor subunit B,PDGF-BB,P01127,PDGFB,RFU,20,11563.3,
3005,4150-75,Plasmin,Plasmin,P00747,PLG,RFU,20,1311.4,
3006,Jun-51,Plasminogen,Plasminogen,P00747,PLG,RFU,0.005,734.2,
3007,4152-58,Plasma kallikrein,Prekallikrein,P03952,KLKB1,RFU,0.005,50998.5,
3008,Nov-53,Alpha-1-antichymotrypsin complex,alpha-1-antichymotrypsin complex,P01011,SERPINA3,RFU,0.005,6835.1,
3009,4154-57,P-selectin,P-Selectin,P16109,SELP,RFU,0.5,13436.9,
3010,Mar-55,Tenascin,Tenascin,P24821,TNC,RFU,0.5,6355.9,
3011,4156-74,Transforming growth factor beta-2,TGF-b2,P61812,TGFB2,RFU,20,249.8,
3012,4158-54,Urokinase-type plasminogen activator,uPA,P00749,PLAU,RFU,20,2551.3,
3013,4159-130,Complement factor H,Factor H,P08603,CFH,RFU,0.005,112415.7,
3014,4160-49,72 kDa type IV collagenase,MMP-2,P08253,MMP2,RFU,0.5,14888.5,
3015,4162-54,Serotransferrin,Transferrin,P02787,TF,RFU,0.005,192951.1,
3016,May-63,Histone H2A.z,Histone H2A.z,P0C0S5,H2AFZ,RFU,20,554.8,
3017,4179-57,14-3-3 protein gamma,14-3-3 protein gamma,P61981,YWHAG,RFU,20,33695.5,
3018,4184-43,Eukaryotic translation initiation factor 4E-binding protein 2,4EBP2,Q13542,EIF4EBP2,RFU,20,295.5,
3019,4187-49,"6-phosphogluconate dehydrogenase, decarboxylating",6-Phosphogluconate dehydrogenase,P52209,PGD,RFU,0.5,1501.3,
3020,Jan-88,Aflatoxin B1 aldehyde reductase member 2,Aflatoxin B1 aldehyde reductase,O43488,AKR7A2,RFU,20,3207.9,
3021,Oct-92,Alcohol dehydrogenase [NADP(+)],AK1A1,P14550,AKR1A1,RFU,0.5,1977.8,
3022,4194-26,Acidic leucine-rich nuclear phosphoprotein 32 family member B,AN32B,Q92688,ANP32B,RFU,20,578.7,
3023,4203-50,Cofilin-1,Cofilin-1,P23528,CFL1,RFU,0.5,817.4,
3024,4209-60,Vacuolar protein sorting-associated protein VTA1 homolog,DRG-1,Q9NP79,VTA1,RFU,20,5082.2,
3025,May-12,Epidermal growth factor receptor substrate 15-like 1,EP15R,Q9UBC2,EPS15L1,RFU,20,278,
3026,4217-49,3-hydroxyacyl-CoA dehydrogenase type-2,ERAB,Q99714,HSD17B10,RFU,20,807.9,
3027,4220-39,Tyrosine-protein kinase Fer,FER,P16591,FER,RFU,20,105.2,
3028,Jan-30,Eukaryotic translation initiation factor 4 gamma 2,IF4G2,P78344,EIF4G2,RFU,20,967.7,
3029,4232-19,Insulin-like growth factor 1 receptor,IGF-I sR,P08069,IGF1R,RFU,20,4147.9,
3030,Aug-34,Interleukin-1 receptor-like 1,IL-1 R4,Q01638,IL1RL1,RFU,0.5,2861,
3031,4237-70,Leucine carboxyl methyltransferase 1,LCMT1,Q9UIC8,LCMT1,RFU,20,2745.7,
3032,4240-31,Pyruvate kinase PKM,M2-PK,P14618,PKM2,RFU,0.5,2911,
3033,4246-40,Neural cell adhesion molecule L1,NCAM-L1,P32004,L1CAM,RFU,20,12944,
3034,4249-64,Nucleoside diphosphate kinase B,NDP kinase B,P22392,NME2,RFU,20,6403.3,
3035,4250-23,NSFL1 cofactor p47,NSF1C,Q9UNZ2,NSFL1C,RFU,20,705.9,
3036,Jun-54,NudC domain-containing protein 3,NUDC3,Q8IVD9,NUDCD3,RFU,20,481.9,
3037,4258-15,Proliferation-associated protein 2G4,PA2G4,Q9UQ80,PA2G4,RFU,20,10004.6,
